Time	Lead II
10.85	0.0430133
10.86	0.014346
10.87	0.0372769
10.88	0.0153814
10.89	-0.0279834
10.9	-0.0191273
10.91	-0.0650769
10.92	-0.0585841
10.93	-0.0706446
10.94	-0.0872128
10.95	-0.0581714
10.96	-0.0935038
10.97	-0.0717482
10.98	-0.053125
10.99	0.0301021
11	0.267353
11.01	0.381685
11.02	0.296136
11.03	0.0484721
11.04	-0.125433
11.05	-0.11898
11.06	-0.113821
11.07	-0.0560467
11.08	-0.0465272
11.09	-0.0586338
11.1	-0.028392
11.11	-0.0484764
11.12	-0.0144163
11.13	-0.0216777
11.14	-0.0413033
11.15	-0.0169549
11.16	-0.0522323
11.17	-0.0169351
11.18	-0.00792928
11.19	-0.00933691
11.2	0.0346969
11.21	0.0150178
11.22	0.0604885
11.23	0.0720356
11.24	0.0724
11.25	0.114611
11.26	0.0991292
11.27	0.13258
11.28	0.115933
11.29	0.0865628
11.3	0.0850081
11.31	0.0193253
11.32	0.0270701
11.33	0.00213749
11.34	-0.0208306
11.35	-0.00362435
11.36	-0.0429957
11.37	-0.0172723
11.38	-0.0310124
11.39	-0.0504901
11.4	-0.0204734
11.41	-0.0435372
11.42	-0.0132739
11.43	-0.0276958
11.44	-0.0425245
11.45	-0.0109655
11.46	-0.0448796
11.47	-0.0879906
11.48	-0.0817607
11.49	-0.0639277
11.5	-0.0144453
11.51	-0.0458318
11.52	-0.0283763
11.53	-0.0331248
11.54	-0.0504991
11.55	-0.0179305
11.56	-0.0523136
11.57	-0.0356962
11.58	-0.0467631
11.59	-0.0681636
11.6	-0.026898
11.61	-0.0543246
11.62	-0.0328644
11.63	-0.0263671
11.64	-0.0267414
11.65	0.0184372
11.66	-0.00429666
11.67	0.0330862
11.68	0.0453615
11.69	0.0198755
11.7	0.0266331
11.71	-0.0327089
11.72	-0.0356981
11.73	-0.0525197
11.74	-0.0805959
11.75	-0.0673168
11.76	-0.0965009
11.77	-0.0605472
11.78	-0.0603543
11.79	-0.0896061
11.8	-0.035842
11.81	0.0493089
11.82	0.303916
11.83	0.444922
11.84	0.285203
11.85	0.0512626
11.86	-0.127496
11.87	-0.104781
11.88	-0.0664447
11.89	-0.0515667
11.9	-0.0129928
11.91	-0.0462318
11.92	-0.0167314
11.93	-0.0203955
11.94	-0.0363193
11.95	-0.00510772
11.96	-0.0310864
11.97	0.00210905
11.98	-0.00355624
11.99	-0.0160187
12	0.016696
12.01	0.00340038
12.02	0.0483053
12.03	0.0570805
12.04	0.0652238
12.05	0.118793
12.06	0.107033
12.07	0.148062
12.08	0.144715
12.09	0.124299
12.1	0.141682
12.11	0.0940608
12.12	0.0955418
12.13	0.0536335
12.14	0.0128974
12.15	0.0214194
12.16	-0.0280457
12.17	-0.0105011
12.18	-0.0268494
12.19	-0.0372271
